Question,IT_related
"How do I troubleshoot a slow internet connection?",1
"What are the health benefits of yoga?",0
"How do I install a new application on my smartphone?",1
"What are the steps to prepare a delicious pasta dish?",0
"How can I improve my time management skills?",0
"What are the different types of renewable energy sources?",0
"How do I create a new user account on Windows?",1
"What are the symptoms of the common cold?",0
"How do I configure email settings on my iPhone?",1
"What are the benefits of regular exercise?",0
"How do I troubleshoot a printer that won't print?",1
"What are the main features of a smartwatch?",0
"How do I partition a hard drive in macOS?",1
"What are the steps to create a budget spreadsheet in Excel?",0
"How can I protect my computer from malware and viruses?",1
"What are the signs of a healthy relationship?",0
"How do I format a USB drive on Linux?",1
"What are the benefits of learning a second language?",0
"How do I troubleshoot a dishwasher that won't drain?",1
"What are the different types of computer memory?",1
"How do I cook a perfect steak?",0
"What are the symptoms of anxiety disorder?",0
"How do I update drivers on Windows 10?",1
"What are the steps to troubleshoot a refrigerator that's not cooling?",0
"How do I install a new font on macOS?",1
"What are the benefits of using cloud storage services?",0
"How do I troubleshoot network connectivity issues?",1
"What are the advantages of using a virtual private network (VPN)?",1
"How do I relieve stress and anxiety?",0
"What are the functions of the human respiratory system?",0
"How do I configure DNS settings on a router?",1
"What are the steps to create a new folder in Windows Explorer?",1
"How can I improve my public speaking skills?",0
"What are the symptoms of diabetes?",0
"How do I encrypt a file or folder on Windows?",1
"What are the benefits of drinking water regularly?",0
"How do I troubleshoot a smartphone that won't turn on?",1
"What are the differences between TCP and UDP?",1
"How do I cook rice perfectly?",0
"What are the signs of a heart attack?",0
"How do I install a graphics card driver on Ubuntu?",1
"What are the steps to troubleshoot a microwave that's not heating?",0
"How do I create a new email account in Gmail?",1
"What are the advantages of using renewable energy sources?",0
"How do I troubleshoot a router that keeps disconnecting?",1
"What are the benefits of regular physical exercise?",0
"How do I install a new theme on WordPress?",1
"What are the steps to create a backup of my files on a Mac?",1
"How do I clear browser cache and cookies in Firefox?",1
"What are the benefits of adopting a vegetarian diet?",0
"How do I change the oil in my car?",0
"What are the benefits of meditation?",0
"How do I troubleshoot a leaking faucet?",0
"What are the symptoms of food poisoning?",0
"How do I format a USB drive on Windows?",1
"What are the steps to start a small business?",0
"How do I create a presentation in PowerPoint?",1
"What are the signs of depression?",0
"How do I install a new plugin in WordPress?",1
"What are the benefits of reading books?",0
"How do I troubleshoot a washing machine that won't spin?",0
"What are the different types of investment options?",0
"How do I configure network settings on a Mac?",1
"What are the steps to plan a vacation?",0
"How do I cook a Thanksgiving turkey?",0
"What are the symptoms of a concussion?",0
"How do I update my phone's operating system?",1
"What are the steps to create a budget?",0
"How do I troubleshoot a lawn mower that won't start?",0
"What are the health benefits of green tea?",0
"How do I create a resume?",0
"What are the signs of a stroke?",0
"How do I install a new application on Android?",1
"What are the benefits of home gardening?",0
"How do I troubleshoot a refrigerator that's not cooling?",0
"What are the steps to buy a house?",0
"How do I configure email settings on Outlook?",1
"What are the symptoms of the flu?",0
"How do I set up a wireless printer?",1
"What are the steps to organize a closet?",0
"How do I troubleshoot a slow computer?",1
"What are the benefits of practicing mindfulness?",0
"How do I install a new operating system on my computer?",1
"What are the signs of a heart attack?",0
"How do I create a budget spreadsheet in Google Sheets?",1
"What are the steps to bake a cake?",0
"How do I troubleshoot a garbage disposal that's jammed?",0
"What are the benefits of regular exercise?",0
"How do I configure DNS settings on a router?",1
"What are the symptoms of sleep apnea?",0
"How do I reset my smartphone to factory settings?",1
"What are the steps to create a YouTube channel?",0
"How do I troubleshoot a laptop that won't turn on?",1
"What are the benefits of drinking water regularly?",0
"How do I install a new font on Windows?",1
"What are the symptoms of a heart attack in women?",0
"How do I configure printer settings on a Mac?",1
"What are the steps to start a blog?",0
"How do I troubleshoot a leaking toilet?",0
"What are the benefits of regular physical activity?",0
